id_empresa,agu_res_des_cod,agu_res_des_tip,agu_res_gen,agu_res_por_anio,FEXP,ciiu1d,TAMANIO_EMPRESA,ACTIVIDAD
13601911013,71,1, , ,1.34308510638298,C,4,C
13601911013,32,2,2, ,1.34308510638298,C,4,C
13601911013,42,2,2, ,1.34308510638298,C,4,C
13601911013,52,2,2, ,1.34308510638298,C,4,C
13601911013,62,2,2, ,1.34308510638298,C,4,C
13601911013,22,2,2, ,1.34308510638298,C,4,C
13601911013,72,2,2, ,1.34308510638298,C,4,C
13601916015,12,2,1,100,1.05546492659054,C,5,C
13601916015,72,2,2, ,1.05546492659054,C,5,C
13601916015,62,2,2, ,1.05546492659054,C,5,C
13601916015,52,2,2, ,1.05546492659054,C,5,C
13601916015,42,2,2, ,1.05546492659054,C,5,C
13601916015,32,2,2, ,1.05546492659054,C,5,C
13601916015,22,2,2, ,1.05546492659054,C,5,C
13601916015,71,1, , ,1.05546492659054,C,5,C
13601916015,61,1, , ,1.05546492659054,C,5,C
13601916015,51,1, , ,1.05546492659054,C,5,C
13601916015,41,1, , ,1.05546492659054,C,5,C
13601916015,31,1, , ,1.05546492659054,C,5,C
13601916015,21,1, , ,1.05546492659054,C,5,C
13601916015,11,1, , ,1.05546492659054,C,5,C
13601917011,12,2,1,100,1.34308510638298,C,4,C
13601917011,72,2,2, ,1.34308510638298,C,4,C
13601917011,62,2,2, ,1.34308510638298,C,4,C
13601917011,52,2,2, ,1.34308510638298,C,4,C
13601917011,42,2,2, ,1.34308510638298,C,4,C
13601917011,32,2,2, ,1.34308510638298,C,4,C
13601917011,22,2,2, ,1.34308510638298,C,4,C
13601917011,71,1, , ,1.34308510638298,C,4,C
13601917011,61,1, , ,1.34308510638298,C,4,C
13601917011,51,1, , ,1.34308510638298,C,4,C
13601917011,41,1, , ,1.34308510638298,C,4,C
13601917011,31,1, , ,1.34308510638298,C,4,C
13601917011,21,1, , ,1.34308510638298,C,4,C
13601917011,11,1, , ,1.34308510638298,C,4,C
13601918018,11,1,1,100,1.05546492659054,C,5,C
13601918018,21,1,2, ,1.05546492659054,C,5,C
13601918018,72,2,2, ,1.05546492659054,C,5,C
13601918018,62,2,2, ,1.05546492659054,C,5,C
13601918018,52,2,2, ,1.05546492659054,C,5,C
13601918018,42,2,2, ,1.05546492659054,C,5,C
13601918018,32,2,2, ,1.05546492659054,C,5,C
13601918018,22,2,2, ,1.05546492659054,C,5,C
13601918018,71,1,2, ,1.05546492659054,C,5,C
13601918018,61,1,2, ,1.05546492659054,C,5,C
13601918018,51,1,2, ,1.05546492659054,C,5,C
13601918018,41,1,2, ,1.05546492659054,C,5,C
13601918018,31,1,2, ,1.05546492659054,C,5,C
13601918018,12,2,2, ,1.05546492659054,C,5,C
13601920012,12,2,1,100,1.05546492659054,C,5,C
13601920012,11,1, , ,1.05546492659054,C,5,C
13601920012,21,1, , ,1.05546492659054,C,5,C
13601920012,31,1, , ,1.05546492659054,C,5,C
13601920012,41,1, , ,1.05546492659054,C,5,C
13601920012,51,1, , ,1.05546492659054,C,5,C
13601920012,61,1, , ,1.05546492659054,C,5,C
13601920012,71,1, , ,1.05546492659054,C,5,C
13601920012,22,2,2, ,1.05546492659054,C,5,C
13601920012,32,2,2, ,1.05546492659054,C,5,C
13601920012,42,2,2, ,1.05546492659054,C,5,C
13601920012,52,2,2, ,1.05546492659054,C,5,C
13601920012,62,2,2, ,1.05546492659054,C,5,C
13601920012,72,2,2, ,1.05546492659054,C,5,C
13601926011,31,1,1,100,1.05546492659054,C,5,C
13601926011,11,1,2, ,1.05546492659054,C,5,C
13601926011,21,1,2, ,1.05546492659054,C,5,C
13601926011,41,1,2, ,1.05546492659054,C,5,C
13601926011,51,1,2, ,1.05546492659054,C,5,C
13601926011,61,1,2, ,1.05546492659054,C,5,C
13601926011,71,1,2, ,1.05546492659054,C,5,C
13601926011,22,2,2, ,1.05546492659054,C,5,C
13601926011,32,2,2, ,1.05546492659054,C,5,C
13601926011,42,2,2, ,1.05546492659054,C,5,C
13601926011,52,2,2, ,1.05546492659054,C,5,C
13601926011,72,2,2, ,1.05546492659054,C,5,C
13601926011,12,2,2, ,1.05546492659054,C,5,C
13601926011,62,2,2, ,1.05546492659054,C,5,C
13601927017,12,2,1,100,1.05546492659054,C,5,C
13601927017,11,1, , ,1.05546492659054,C,5,C
13601927017,21,1, , ,1.05546492659054,C,5,C
13601927017,31,1, , ,1.05546492659054,C,5,C
13601927017,41,1, , ,1.05546492659054,C,5,C
13601927017,51,1, , ,1.05546492659054,C,5,C
13601927017,61,1, , ,1.05546492659054,C,5,C
13601927017,71,1, , ,1.05546492659054,C,5,C
13601927017,22,2,2, ,1.05546492659054,C,5,C
13601927017,32,2,2, ,1.05546492659054,C,5,C
13601927017,42,2,2, ,1.05546492659054,C,5,C
13601927017,52,2,2, ,1.05546492659054,C,5,C
13601927017,62,2,2, ,1.05546492659054,C,5,C
13601927017,72,2,2, ,1.05546492659054,C,5,C
13601928013,12,2,1,100,1.34308510638298,C,4,C
13601928013,72,2,2, ,1.34308510638298,C,4,C
13601928013,62,2,2, ,1.34308510638298,C,4,C
13601928013,52,2,2, ,1.34308510638298,C,4,C
13601928013,42,2,2, ,1.34308510638298,C,4,C
13601928013,32,2,2, ,1.34308510638298,C,4,C
13601928013,22,2,2, ,1.34308510638298,C,4,C
13601928013,71,1, , ,1.34308510638298,C,4,C
13601928013,61,1, , ,1.34308510638298,C,4,C
13601928013,51,1, , ,1.34308510638298,C,4,C
13601928013,41,1, , ,1.34308510638298,C,4,C
13601928013,31,1, , ,1.34308510638298,C,4,C
13601928013,21,1, , ,1.34308510638298,C,4,C
13601928013,11,1, , ,1.34308510638298,C,4,C
13601929010,31,1,1,100,1.05546492659054,C,5,C
13601929010,11,1,2, ,1.05546492659054,C,5,C
13601929010,21,1,2, ,1.05546492659054,C,5,C
13601929010,41,1,2, ,1.05546492659054,C,5,C
13601929010,51,1,2, ,1.05546492659054,C,5,C
13601929010,61,1,2, ,1.05546492659054,C,5,C
13601929010,71,1,2, ,1.05546492659054,C,5,C
13601929010,12,2,2, ,1.05546492659054,C,5,C
13601929010,22,2,2, ,1.05546492659054,C,5,C
13601929010,32,2,2, ,1.05546492659054,C,5,C
13601929010,42,2,2, ,1.05546492659054,C,5,C
13601929010,52,2,2, ,1.05546492659054,C,5,C
13601929010,62,2,2, ,1.05546492659054,C,5,C
13601929010,72,2,2, ,1.05546492659054,C,5,C
13601930018,12,2,1,100,1.05546492659054,C,5,C
13601930018,72,2,2, ,1.05546492659054,C,5,C
