id_empresa,fue_cap_des_cod,fue_cap_cue,fue_cap_reg,fue_cap_tot_anio,fue_cap_tot_por_con,fue_cap_aut_apr_agu,fue_cap_cua_aut,FEXP,ciiu1d,TAMANIO_EMPRESA,ACTIVIDAD
13588249012,3,2, , , , , ,1.34308510638298,C,4,C
13588249012,2,2, , , , , ,1.34308510638298,C,4,C
13588249012,1,2, , , , , ,1.34308510638298,C,4,C
13588249012,4,2, , , , , ,1.34308510638298,C,4,C
13588996012,4,2, , , , , ,3.72254335260116,C,3,C
13588996012,3,2, , , , , ,3.72254335260116,C,3,C
13588996012,2,2, , , , , ,3.72254335260116,C,3,C
13588996012,1,2, , , , , ,3.72254335260116,C,3,C
13589850011,4,2, , , , , ,3.18181818181818,I,3,I
13589850011,3,2, , , , , ,3.18181818181818,I,3,I
13589850011,2,2, , , , , ,3.18181818181818,I,3,I
13589850011,1,2, , , , , ,3.18181818181818,I,3,I
13590746015,4,2, , , , , ,3.72254335260116,C,3,C
13590746015,3,2, , , , , ,3.72254335260116,C,3,C
13590746015,2,2, , , , , ,3.72254335260116,C,3,C
13590746015,1,2, , , , , ,3.72254335260116,C,3,C
13596520019,1,2, , , , , ,3.72254335260116,C,3,C
13596520019,2,2, , , , , ,3.72254335260116,C,3,C
13596520019,3,2, , , , , ,3.72254335260116,C,3,C
13596520019,4,2, , , , , ,3.72254335260116,C,3,C
13596847018,1,2, , , , , ,3.72254335260116,C,3,C
13596847018,2,2, , , , , ,3.72254335260116,C,3,C
13596847018,3,2, , , , , ,3.72254335260116,C,3,C
13596847018,4,2, , , , , ,3.72254335260116,C,3,C
13601902014,4,2, , , , , ,1,C,3,C
13601902014,3,2, , , , , ,1,C,3,C
13601902014,2,2, , , , , ,1,C,3,C
13601902014,1,1,2, , ,2, ,1,C,3,C
13601911013,1,2, , , , , ,1.34308510638298,C,4,C
13601911013,3,2, , , , , ,1.34308510638298,C,4,C
13601911013,2,2, , , , , ,1.34308510638298,C,4,C
13601911013,4,2, , , , , ,1.34308510638298,C,4,C
13601916015,4,2, , , , , ,1.05546492659054,C,5,C
13601916015,3,2, , , , , ,1.05546492659054,C,5,C
13601916015,2,2, , , , , ,1.05546492659054,C,5,C
13601916015,1,2, , , , , ,1.05546492659054,C,5,C
13601917011,1,1,1,22000,100,1,1,1.34308510638298,C,4,C
13601917011,4,2, , , , , ,1.34308510638298,C,4,C
13601917011,3,2, , , , , ,1.34308510638298,C,4,C
13601917011,2,2, , , , , ,1.34308510638298,C,4,C
13601918018,2,1,1,8822.4,80,1,1,1.05546492659054,C,5,C
13601918018,4,2, , , , , ,1.05546492659054,C,5,C
13601918018,3,2, , , , , ,1.05546492659054,C,5,C
13601918018,1,2, , , , , ,1.05546492659054,C,5,C
13601920012,1,2, , , , , ,1.05546492659054,C,5,C
13601920012,2,2, , , , , ,1.05546492659054,C,5,C
13601920012,3,2, , , , , ,1.05546492659054,C,5,C
13601920012,4,2, , , , , ,1.05546492659054,C,5,C
13601926011,1,1,1,60000,100,1,1,1.05546492659054,C,5,C
13601926011,4,2, , , , , ,1.05546492659054,C,5,C
13601926011,3,2, , , , , ,1.05546492659054,C,5,C
13601926011,2,2, , , , , ,1.05546492659054,C,5,C
13601927017,4,2, , , , , ,1.05546492659054,C,5,C
13601927017,3,2, , , , , ,1.05546492659054,C,5,C
13601927017,2,2, , , , , ,1.05546492659054,C,5,C
13601927017,1,2, , , , , ,1.05546492659054,C,5,C
13601928013,1,1,1,42000,100,1,1,1.34308510638298,C,4,C
13601928013,4,2, , , , , ,1.34308510638298,C,4,C
13601928013,3,2, , , , , ,1.34308510638298,C,4,C
13601928013,2,2, , , , , ,1.34308510638298,C,4,C
13601929010,1,1,1,163019,100,1,1,1.05546492659054,C,5,C
13601929010,2,2, , , , , ,1.05546492659054,C,5,C
13601929010,3,2, , , , , ,1.05546492659054,C,5,C
13601929010,4,2, , , , , ,1.05546492659054,C,5,C
13601930018,4,2, , , , , ,1.05546492659054,C,5,C
13601930018,3,2, , , , , ,1.05546492659054,C,5,C
13601930018,2,2, , , , , ,1.05546492659054,C,5,C
13601930018,1,2, , , , , ,1.05546492659054,C,5,C
13601931014,4,2, , , , , ,1.05546492659054,C,5,C
13601931014,3,2, , , , , ,1.05546492659054,C,5,C
13601931014,2,2, , , , , ,1.05546492659054,C,5,C
13601931014,1,2, , , , , ,1.05546492659054,C,5,C
13601937012,4,2, , , , , ,3.72254335260116,C,3,C
13601937012,3,2, , , , , ,3.72254335260116,C,3,C
13601937012,2,2, , , , , ,3.72254335260116,C,3,C
13601937012,1,2, , , , , ,3.72254335260116,C,3,C
13601946011,4,2, , , , , ,1.40816326530612,I,4,I
13601946011,3,2, , , , , ,1.40816326530612,I,4,I
13601946011,2,2, , , , , ,1.40816326530612,I,4,I
13601946011,1,2, , , , , ,1.40816326530612,I,4,I
13601954014,4,2, , , , , ,1.05546492659054,C,5,C
13601954014,3,2, , , , , ,1.05546492659054,C,5,C
13601954014,2,2, , , , , ,1.05546492659054,C,5,C
13601954014,1,2, , , , , ,1.05546492659054,C,5,C
13601955011,2,2, , , , , ,1.34308510638298,C,4,C
13601955011,1,2, , , , , ,1.34308510638298,C,4,C
13601955011,4,2, , , , , ,1.34308510638298,C,4,C
13601955011,3,2, , , , , ,1.34308510638298,C,4,C
13601973019,2,2, , , , , ,1.30508474576271,H,4,H
13601973019,3,2, , , , , ,1.30508474576271,H,4,H
13601973019,4,2, , , , , ,1.30508474576271,H,4,H
13601973019,1,2, , , , , ,1.30508474576271,H,4,H
