id_empresa,com_des_cod,com_des_tip,com_uti,com_can_gal,com_cap,com_val,com_act_pro_por,com_act_pro_can,com_act_pro_val,com_tra_por,com_tra_can,com_tra_val,FEXP,ciiu1d,TAMANIO_EMPRESA,ACTIVIDAD
13601902014,31,1,1,6000, ,13390.45,100,6000,13390.45, , , ,1,C,3,C
13601902014,21,1,1,1200, ,1776, , , ,100,1200,1776,1,C,3,C
13601902014,42,2,2, , , , , , , , , ,1,C,3,C
13601902014,62,2,2, , , , , , , , , ,1,C,3,C
13601902014,81,1,2, , , , , , , , , ,1,C,3,C
13601902014,11,1,2, , , , , , , , , ,1,C,3,C
13601902014,32,2,2, , , , , , , , , ,1,C,3,C
13601902014,22,2,2, , , , , , , , , ,1,C,3,C
13601902014,52,2,2, , , , , , , , , ,1,C,3,C
13601902014,12,2,2, , , , , , , , , ,1,C,3,C
13601902014,71,1,2, , , , , , , , , ,1,C,3,C
13601902014,61,1,2, , , , , , , , , ,1,C,3,C
13601902014,51,1,2, , , , , , , , , ,1,C,3,C
13601902014,41,1,2, , , , , , , , , ,1,C,3,C
13601911013,42,2,1,2880, ,3809.94,100,2880,3809.94, , , ,1.34308510638298,C,4,C
13601911013,21,1,1,1708, ,2391.2, , , ,100,1708,1759.1,1.34308510638298,C,4,C
13601911013,31,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601911013,41,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601911013,51,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601911013,61,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601911013,71,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601911013,81,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601911013,12,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13601911013,52,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13601911013,62,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13601911013,22,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13601911013,11,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601911013,32,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13601916015,31,1,1,5157.4, ,19082.38,100,5157.4,19082.38, , , ,1.05546492659054,C,5,C
13601916015,21,1,1,1076.69, ,1571.98,80,861.35,1257.58,20,215.34,314.4,1.05546492659054,C,5,C
13601916015,32,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601916015,22,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601916015,62,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601916015,52,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601916015,42,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601916015,12,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601916015,81,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601916015,71,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601916015,61,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601916015,51,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601916015,41,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601916015,11,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601917011,52,2,1,40000, ,46228,100,40000,46228, , , ,1.34308510638298,C,4,C
13601917011,62,2,1,37177.32, ,11896.74,100,37177.32,11896.74, , , ,1.34308510638298,C,4,C
13601917011,32,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13601917011,22,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13601917011,42,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13601917011,12,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13601917011,81,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601917011,71,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601917011,61,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601917011,51,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601917011,41,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601917011,31,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601917011,21,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601917011,11,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601918018,31,1,1,22000, ,72160,100,22000,72160, , , ,1.05546492659054,C,5,C
13601918018,52,2,1,1125, ,1375,100,1125,1375, , , ,1.05546492659054,C,5,C
13601918018,11,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601918018,71,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601918018,41,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601918018,61,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601918018,12,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601918018,42,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601918018,62,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601918018,32,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601918018,21,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601918018,22,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601918018,51,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601918018,81,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601920012,31,1,1,50000, ,46000,100,50000,46000, , , ,1.05546492659054,C,5,C
13601920012,51,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601920012,61,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601920012,71,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601920012,81,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601920012,12,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601920012,22,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601920012,32,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601920012,42,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601920012,52,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601920012,62,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601920012,21,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601920012,41,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601920012,11,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601926011,31,1,1,25974.78, ,26754.02,100,25974.78,26754.02, , , ,1.05546492659054,C,5,C
13601926011,32,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601926011,22,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601926011,62,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601926011,42,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601926011,12,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601926011,81,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601926011,71,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601926011,51,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601926011,41,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601926011,21,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601926011,11,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601926011,52,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601926011,61,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601927017,31,1,1,140042.01, ,144243.27,100,140042.01,144243.27, , , ,1.05546492659054,C,5,C
13601927017,62,2,1,170326, ,48968.72,100,170326,48968.72, , , ,1.05546492659054,C,5,C
13601927017,71,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601927017,41,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601927017,32,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601927017,22,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601927017,52,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601927017,42,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601927017,12,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601927017,81,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601927017,61,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601927017,51,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601927017,21,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601927017,11,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601928013,81,1,1,40000, ,25280,100,40000,25280, , , ,1.34308510638298,C,4,C
13601928013,31,1,1,8000, ,6640,100,8000,6640, , , ,1.34308510638298,C,4,C
13601928013,21,1,1,3500, ,4624.2,100,3500,4624.2, , , ,1.34308510638298,C,4,C
13601928013,12,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13601928013,52,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13601928013,42,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13601928013,11,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601928013,41,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601928013,51,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601928013,61,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601928013,62,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13601928013,32,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13601928013,22,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13601928013,71,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601929010,42,2,1,48000, ,67200,100,48000,70488, , , ,1.05546492659054,C,5,C
13601929010,41,1,1,2328, ,1466.64,100,2328,1466.64, , , ,1.05546492659054,C,5,C
13601929010,11,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601929010,21,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601929010,61,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601929010,71,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601929010,81,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601929010,12,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601929010,52,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601929010,62,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601929010,22,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601929010,32,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601929010,51,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601929010,31,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601930018,11,1,1,14361.8, ,28723.61, , , ,100,14361.8,28723.61,1.05546492659054,C,5,C
13601930018,31,1,1,699.02, ,720, , , ,100,699.02,720,1.05546492659054,C,5,C
13601930018,32,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601930018,51,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601930018,21,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601930018,71,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601930018,61,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601930018,52,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601930018,22,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601930018,62,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601930018,42,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601930018,12,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601930018,41,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601930018,81,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601931014,31,1,1,3840, ,3955.2, , , ,100,3840,3955.2,1.05546492659054,C,5,C
13601931014,21,1,1,1440, ,2102.4, , , ,100,1440,2102.4,1.05546492659054,C,5,C
13601931014,11,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601931014,12,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601931014,41,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601931014,51,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601931014,61,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601931014,71,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601931014,81,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601931014,22,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601931014,32,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601931014,42,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601931014,52,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601931014,62,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601937012,21,1,1,5840, ,8526.4, , , ,100,5840,8526.4,3.72254335260116,C,3,C
13601937012,31,1,1,247.2, ,810.81,100,247.2,810.81, , , ,3.72254335260116,C,3,C
13601937012,32,2,2, , , , , , , , , ,3.72254335260116,C,3,C
13601937012,22,2,2, , , , , , , , , ,3.72254335260116,C,3,C
13601937012,62,2,2, , , , , , , , , ,3.72254335260116,C,3,C
13601937012,52,2,2, , , , , , , , , ,3.72254335260116,C,3,C
13601937012,42,2,2, , , , , , , , , ,3.72254335260116,C,3,C
13601937012,12,2,2, , , , , , , , , ,3.72254335260116,C,3,C
13601937012,81,1,2, , , , , , , , , ,3.72254335260116,C,3,C
13601937012,71,1,2, , , , , , , , , ,3.72254335260116,C,3,C
13601937012,61,1,2, , , , , , , , , ,3.72254335260116,C,3,C
13601937012,51,1,2, , , , , , , , , ,3.72254335260116,C,3,C
13601937012,41,1,2, , , , , , , , , ,3.72254335260116,C,3,C
13601937012,11,1,2, , , , , , , , , ,3.72254335260116,C,3,C
13601946011,42,2,1,21600, ,16615.38,100,21600,16615.38, , , ,1.40816326530612,I,4,I
13601946011,31,1,1,12000, ,11004,100,12000,11004, , , ,1.40816326530612,I,4,I
13601946011,11,1,2, , , , , , , , , ,1.40816326530612,I,4,I
13601946011,21,1,2, , , , , , , , , ,1.40816326530612,I,4,I
13601946011,41,1,2, , , , , , , , , ,1.40816326530612,I,4,I
13601946011,51,1,2, , , , , , , , , ,1.40816326530612,I,4,I
13601946011,61,1,2, , , , , , , , , ,1.40816326530612,I,4,I
13601946011,71,1,2, , , , , , , , , ,1.40816326530612,I,4,I
13601946011,81,1,2, , , , , , , , , ,1.40816326530612,I,4,I
13601946011,12,2,2, , , , , , , , , ,1.40816326530612,I,4,I
13601946011,52,2,2, , , , , , , , , ,1.40816326530612,I,4,I
13601946011,62,2,2, , , , , , , , , ,1.40816326530612,I,4,I
13601946011,32,2,2, , , , , , , , , ,1.40816326530612,I,4,I
13601946011,22,2,2, , , , , , , , , ,1.40816326530612,I,4,I
13601954014,21,1,1,612, ,893.52, , , ,100,612,893.52,1.05546492659054,C,5,C
13601954014,32,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601954014,22,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601954014,62,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601954014,52,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601954014,42,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601954014,12,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601954014,81,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601954014,71,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601954014,61,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601954014,51,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601954014,41,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601954014,31,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601954014,11,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601955011,31,1,1,12000, ,15600, , , ,100,12000,15600,1.34308510638298,C,4,C
13601955011,42,2,1,180, ,19.2,100,180,19.2, , , ,1.34308510638298,C,4,C
13601955011,32,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13601955011,22,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13601955011,62,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13601955011,52,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13601955011,12,2,2, , , , , , , , , ,1.34308510638298,C,4,C
13601955011,81,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601955011,71,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601955011,61,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601955011,51,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601955011,41,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601955011,21,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601955011,11,1,2, , , , , , , , , ,1.34308510638298,C,4,C
13601973019,21,1,2, , , , , , , , , ,1.30508474576271,H,4,H
13601973019,31,1,2, , , , , , , , , ,1.30508474576271,H,4,H
13601973019,41,1,2, , , , , , , , , ,1.30508474576271,H,4,H
13601973019,61,1,2, , , , , , , , , ,1.30508474576271,H,4,H
13601973019,71,1,2, , , , , , , , , ,1.30508474576271,H,4,H
13601973019,81,1,2, , , , , , , , , ,1.30508474576271,H,4,H
13601973019,12,2,2, , , , , , , , , ,1.30508474576271,H,4,H
13601973019,32,2,2, , , , , , , , , ,1.30508474576271,H,4,H
13601973019,42,2,2, , , , , , , , , ,1.30508474576271,H,4,H
13601973019,52,2,2, , , , , , , , , ,1.30508474576271,H,4,H
13601973019,62,2,2, , , , , , , , , ,1.30508474576271,H,4,H
13601973019,11,1,2, , , , , , , , , ,1.30508474576271,H,4,H
13601973019,51,1,2, , , , , , , , , ,1.30508474576271,H,4,H
13601973019,22,2,2, , , , , , , , , ,1.30508474576271,H,4,H
13601980015,11,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601980015,21,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601980015,31,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601980015,51,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601980015,61,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601980015,71,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601980015,12,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601980015,42,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601980015,62,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601980015,22,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601980015,32,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601980015,41,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601980015,81,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601980015,52,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601986013,42,2,1,150, ,195, , , ,100,150,195,1.05546492659054,C,5,C
13601986013,11,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601986013,21,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601986013,31,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601986013,41,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601986013,51,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601986013,61,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601986013,71,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601986013,81,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601986013,12,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601986013,52,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601986013,62,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601986013,22,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601986013,32,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601987010,21,1,1,2465.75, ,3600, , , ,100,2465.75,3600,1.30508474576271,H,4,H
13601987010,62,2,2, , , , , , , , , ,1.30508474576271,H,4,H
13601987010,52,2,2, , , , , , , , , ,1.30508474576271,H,4,H
13601987010,12,2,2, , , , , , , , , ,1.30508474576271,H,4,H
13601987010,81,1,2, , , , , , , , , ,1.30508474576271,H,4,H
13601987010,71,1,2, , , , , , , , , ,1.30508474576271,H,4,H
13601987010,61,1,2, , , , , , , , , ,1.30508474576271,H,4,H
13601987010,51,1,2, , , , , , , , , ,1.30508474576271,H,4,H
13601987010,31,1,2, , , , , , , , , ,1.30508474576271,H,4,H
13601987010,11,1,2, , , , , , , , , ,1.30508474576271,H,4,H
13601987010,32,2,2, , , , , , , , , ,1.30508474576271,H,4,H
13601987010,22,2,2, , , , , , , , , ,1.30508474576271,H,4,H
13601987010,42,2,2, , , , , , , , , ,1.30508474576271,H,4,H
13601987010,41,1,2, , , , , , , , , ,1.30508474576271,H,4,H
13601992013,31,1,1,12000, ,12120,100,12000, , , , ,1.05546492659054,C,5,C
13601992013,11,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601992013,21,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601992013,41,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601992013,51,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601992013,61,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601992013,71,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601992013,81,1,2, , , , , , , , , ,1.05546492659054,C,5,C
13601992013,12,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601992013,42,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601992013,52,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601992013,62,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601992013,22,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13601992013,32,2,2, , , , , , , , , ,1.05546492659054,C,5,C
13602002017,52,2,1,247037, ,247037,100,247037,247037, , , ,1.05546492659054,C,5,C
