AÑO;MES;PIB;TOTAL SALDO DEUDA EXTERNA;TOTAL SALDO DEUDA INTERNA;TOTAL SALDO DEUDA PÚBLICA;RELACIÓN DEUDA/PIB
2021;Enero;102.561,10;45.200,85;1.689,77;46.890,62;45,72%
2021;Febrero;102.561,10;45.252,99;1.405,55;46.658,54;45,49%
2021;Marzo;102.561,10;45.228,39;1.366,91;46.595,30;45,43%
2021;Abril;102.561,10;45.415,04;1.399,52;46.814,57;45,65%
2021;Mayo;102.561,10;45.387,93;1.254,14;46.642,07;45,48%
2021;Junio;102.561,10;45.111,39;1.286,03;46.397,42;45,24%
