 ACREEDOR ; SALDO ADEUDADO AL 30 DE JUNIO 2021 ; TASAS FIJAS 0 - 3 ; TASAS FIJAS 3.1 - 5 ; TASAS FIJAS 5.1 - 8 ; TASAS FIJAS MAS DE 8.1 ; TASAS FIJAS SUBTOTAL ; TASAS VARIABLES SDR ; TASAS VARIABLES FMI ; TASAS VARIABLES BID ; TASAS VARIABLES BIRF ; TASAS VARIABLES T.BEDE ; TASAS VARIABLES PRIME ; TASAS VARIABLES LIBOR 90 ; TASAS VARIABLES LIBOR  180 ; TASAS VARIABLES OTRAS ; TASAS VARIABLES SUBTOTAL 
       BANCOS Y BONOS ;19.024.084,25;1.206.594,66;316.429,01;16.233.836,63;441.479,41;18.198.339,72; -   ; -   ;35.677,58; -   ; -   ; -   ;78.000,00;603.191,34;108.875,61;825.744,53
            CRÉDITOS ORIGINALES - BANCOS ;1.231.300,21;201.652,67;216.246,01; -   ; -   ;417.898,68; -   ; -   ;35.677,58; -   ; -   ; -   ;78.000,00;590.848,34;108.875,61;813.401,53
            BONOS BRADY ;62.526,00; -   ;50.183,00; -   ; -   ;50.183,00; -   ; -   ; -   ; -   ; -   ; -   ; -   ;12.343,00; -   ;12.343,00
            BONOS GLOBAL  ;441.479,41; -   ; -   ; -   ;441.479,41;441.479,41; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS SOBERANOS 2014 - 2024 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS SOBERANOS 2015 - 2020 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS SOBERANOS 2016 - 2022 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS SOBERANOS 2016 - 2026 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS PETROAMAZONAS ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS SOBERANOS 2017 - 2023/2027 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS SOBERANOS 2017 - 2027 (jun) ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS SOBERANOS 2017 - 2027 (oct) ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS PETROAMAZONAS1 ;50.000,00; -   ;50.000,00; -   ; -   ;50.000,00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS SOBERANOS 2018 - 2028 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS SOBERANOS 2019 - 2029 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS SOBERANOS 2019 - 2025 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS SOBERANOS 2019 - 2030 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS SOBERANOS 2019 - 2035 ;400.000,00; -   ; -   ;400.000,00; -   ;400.000,00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS PDI 2030 ;1.004.941,99;1.004.941,99; -   ; -   ; -   ;1.004.941,99; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            NUEVO BONO S. 2040 1 ;3.403.135,21; -   ; -   ;3.403.135,21; -   ;3.403.135,21; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            NUEVO BONO SOB 2030 ;3.701.423,87; -   ; -   ;3.701.423,87; -   ;3.701.423,87; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            NUEVO BONO SOB 2035 ;8.458.864,78; -   ; -   ;8.458.864,78; -   ;8.458.864,78; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS 2022 ;18.147,63; -   ; -   ;18.147,63; -   ;18.147,63; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS 2023 ;18.796,47; -   ; -   ;18.796,47; -   ;18.796,47; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS 2024 ;60.204,12; -   ; -   ;60.204,12; -   ;60.204,12; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS 2025 ;9.062,88; -   ; -   ;9.062,88; -   ;9.062,88; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS 2026 ;27.410,99; -   ; -   ;27.410,99; -   ;27.410,99; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS 2027 1 ;14.059,54; -   ; -   ;14.059,54; -   ;14.059,54; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS 2027 2 ;28.758,81; -   ; -   ;28.758,81; -   ;28.758,81; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS 2028 ;50.274,60; -   ; -   ;50.274,60; -   ;50.274,60; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS 2029 ;29.438,64; -   ; -   ;29.438,64; -   ;29.438,64; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS 2030 ;14.259,11; -   ; -   ;14.259,11; -   ;14.259,11; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
        PROVEEDORES ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
           PROVEEDORES ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
        OTRAS CUENTAS POR PAGAR  ;520.610,74;508.110,74; -   ;12.500,00; -   ;520.610,74; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
"             PASIVOS POR DERECHOS 
            CONTRACTUALES INTANGIBLES  ";508.110,74;508.110,74; -   ; -   ; -   ;508.110,74; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            VENTAS ANTICIPADAS PETROLERAS  ;12.500,00; -   ; -   ;12.500,00; -   ;12.500,00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
        DERECHOS ESPECIALES DE GIRO - DEG  ;457.969,00;457.969,00; -   ; -   ; -   ;457.969,00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
"             DERECHOS ESPECIALES DE GIRO - 
             DEG  ";457.969,00;457.969,00; -   ; -   ; -   ;457.969,00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 II. DEUDA INTERNA  ;17.748.047,42;2.900.913,30;3.657.848,98;9.892.031,29;1.297.253,84;17.748.047,42; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
         TITULOS Y CERTIFICADOS ;14.805.756,63;839.688,36;3.657.848,98;9.010.965,44;1.297.253,84;14.805.756,63; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS MEDIANO Y LARGO PLAZO ;14.734.397,39;768.329,13;3.657.848,98;9.010.965,44;1.297.253,84;14.734.397,39; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BONOS SISTEMA FINANCIERO ;71.359,24;71.359,24; -   ; -   ; -   ;71.359,24; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            CERTIFICADOS DE TESORERIA ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
          PRÉSTAMOS INTERNOS ;2.036.918,04;1.536.918,04; -   ;500.000,00; -   ;2.036.918,04; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BANCO DEL ESTADO ;1.536.918,04;1.536.918,04; -   ; -   ; -   ;1.536.918,04; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            BANCO CENTRAL DEL ECUADOR ;500.000,00; -   ; -   ;500.000,00; -   ;500.000,00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
          ENTIDADES DEL ESTADO ;905.372,74;524.306,90; -   ;381.065,84; -   ;905.372,74; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
"           OBLIGACIONES NO PAGADAS Y
           REGISTRADAS EN PRESUPUESTOS 
           CLAUSURADOS  ";524.306,90;524.306,90; -   ; -   ; -   ;524.306,90; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
            IESS ;381.065,84; -   ; -   ;381.065,84; -   ;381.065,84; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
 TOTAL ;62.859.439,98;8.101.509,59;5.843.519,11;30.428.797,54;1.738.733,26;46.112.559,50;27.510,96;6.164.060,07;134.010,92;789,6; -   ; -   ;2.090.087,48;7.880.249,99;450.171,47;16.746.880,49
